"site","subsite","spp","ind","leaf_type","height","leaf_size","lma","stem_density_25","stem_density_100","segment","length","xsa","mass_stem_main","mass_stem_side","mass_stem_total","mass_leaf_main","mass_leaf_side","mass_leaf_total","area_leaf_main","area_leaf_side","area_leaf_total","number_leaf_main","number_leaf_total","main_leaf_mass_per_length","main_stem_mass_per_length","main_all_mass_per_length","total_leaf_mass_per_length","total_stem_mass_per_length","total_all_mass_per_length","main_leaf_area_per_length","total_area_per_length","leaf_no_per_length","main_LMF","total_LMF","main_LAR","total_LAR"
"daintree","oliver","atrhir",1,"simple",1.1,10560,7.455e-05,0.48925,"6.4930E-01","0",0,"7.8775E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","oliver","atrhir",1,"simple",1.1,10560,7.455e-05,0.48925,"6.4930E-01","a",125,"1.7624E+01",0.9302,0.0587,0.9889,3.7168,0.1516,3.8684,49858,2033.6,51891,4.7205,4.913,0.029734,0.0074416,0.037176,0.030947,0.0079112,0.038858,398.86,415.13,0.037764,0.79983,0.79641,10729,10683
"daintree","oliver","atrhir",1,"simple",1.1,10560,7.455e-05,0.48925,"6.4930E-01","e",1000,"1.5836E+02",51.378,18.735,70.113,9.2088,37.717,46.925,123530,505940,629470,11.696,59.597,0.0092088,0.051378,0.060587,0.046925,0.070113,0.11704,123.53,629.47,0.011696,0.15199,0.40094,2038.9,5378.3
"daintree","oliver","atrhir",2,"simple",1.3,15380,6.911e-05,0.50472,"6.8003E-01","0",0,"2.1410E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","oliver","atrhir",2,"simple",1.3,15380,6.911e-05,0.50472,"6.8003E-01","a",130,"3.9592E+01",2.0056,0,2.0056,11.024,0,11.024,159510,0,159510,10.373,10.373,0.084802,0.015428,0.10023,0.084802,0.015428,0.10023,1227,1227,0.079794,0.84608,0.84608,12242,12242
"daintree","oliver","atrhir",2,"simple",1.3,15380,6.911e-05,0.50472,"6.8003E-01","e",1000,"9.1538E+01",35.221,11.385,46.605,14.079,18.755,32.834,203700,271360,475070,13.247,30.895,0.014079,0.035221,0.0493,0.032834,0.046605,0.079439,203.7,475.07,0.013247,0.28558,0.41332,4132,5980.3
"daintree","oliver","atrhir",3,"simple",1.3,8184,7.156e-05,0.5559,"6.8270E-01","0",0,"1.1624E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","oliver","atrhir",3,"simple",1.3,8184,7.156e-05,0.5559,"6.8270E-01","a",195,"2.3562E+01",1.758,0.383,2.141,3.6651,1.2306,4.8957,51218,17197,68416,6.2584,8.3597,0.018795,0.0090154,0.027811,0.025106,0.010979,0.036086,262.66,350.85,0.032094,0.67583,0.69574,9444.5,9722.7
"daintree","oliver","atrhir",3,"simple",1.3,8184,7.156e-05,0.5559,"6.8270E-01","e",1000,"7.0089E+01",29.26,13.878,43.138,3.6651,21.146,24.812,51218,295510,346730,6.2584,42.367,0.0036651,0.02926,0.032925,0.024812,0.043138,0.06795,51.218,346.73,0.0062584,0.11132,0.36514,1555.6,5102.8
"daintree",NA,"bropla",1,"simple",NA,9091,0.0001041,0.35497,"5.5453E-01","0",0,"1.1310E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree",NA,"bropla",1,"simple",NA,9091,0.0001041,0.35497,"5.5453E-01","a",125,"2.1598E+01",0.553,0,0.553,4.4289,0,4.4289,42561,0,42561,4.6819,4.6819,0.035431,0.004424,0.039855,0.035431,0.004424,0.039855,340.49,340.49,0.037455,0.889,0.889,8543.2,8543.2
"daintree",NA,"bropla",1,"simple",NA,9091,0.0001041,0.35497,"5.5453E-01","e",1000,"5.9439E+01",12.929,0,12.929,17.126,0,17.126,164580,0,164580,18.104,18.104,0.017126,0.012929,0.030055,0.017126,0.012929,0.030055,164.58,164.58,0.018104,0.56982,0.56982,5475.9,5475.9
"daintree",NA,"bropla",2,"simple",NA,5220,0.0001049,0.45918,"5.5313E-01","0",0,"6.5973E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree",NA,"bropla",2,"simple",NA,5220,0.0001049,0.45918,"5.5313E-01","a",125,"1.0744E+01",0.5269,0,0.5269,3.637,0,3.637,34682,0,34682,6.6445,6.6445,0.029096,0.0042152,0.033311,0.029096,0.0042152,0.033311,277.46,277.46,0.053156,0.87346,0.87346,8329.3,8329.3
"daintree",NA,"bropla",2,"simple",NA,5220,0.0001049,0.45918,"5.5313E-01","e",1000,"8.6590E+01",23.029,7.753,30.782,9.4549,25.559,35.014,90162,243730,333890,17.273,63.968,0.0094549,0.023029,0.032484,0.035014,0.030782,0.065796,90.162,333.89,0.017273,0.29106,0.53216,2775.6,5074.6
