spp,indiv,segment,length,displacement_mass_stem,dry_mass_stem,density_stem,dry_mass_bark,displacement_mass_wood,dry_mass_wood,density_wood,notes
malmol,3,1000mm,41.70,3.925,1.4458,0.3676,0.2350,3.266,1.2108,0.3700,
malmol,x,base,85.4000,,,,,1.186,0.3902,0.3283,
malmol,x,base,44.8000,,,,,0.630,0.1843,0.2918,
malmol,x,base,44.0000,,,,,0.598,0.1751,0.2920,
medses,1,250mm,32.10,0.669,0.2948,0.4398,0.1072,0.317,0.1876,0.5906,
medses,1,base,22.30,,,,,,0.3360,#DIV/0!,
medses,1,1000mm,23.10,1.455,0.9004,0.6176,0.1793,1.018,0.7211,0.7069,
medses,2,250mm,24.60,0.495,0.1918,0.3867,0.0591,0.282,0.1327,0.4696,
medses,2,base,11.90,,,,,0.225,0.1594,0.7070,
medses,2,1000mm,27.50,2.751,1.6006,0.5807,0.2502,1.983,1.3504,0.6796,
medses,3,base,11.10,,,,,0.220,0.1636,0.7435,
medses,3,250mm,31.90,1.871,1.0423,0.5560,0.2627,1.153,0.7796,0.6748,
medses,3,1000mm,49.40,11.970,8.0650,0.6724,1.6110,9.436,6.4540,0.6826,
medses,x,base,12.30,,,,,0.243,0.1897,0.7807,
medses,x,base,,,,,,0.215,0.1819,0.8463,
medses,x,base,10.50,,,,,0.198,0.1641,0.8292,
melaff,1,base,11.70,,,,,0.215,0.1161,0.5402,
melaff,1,250mm,40.00,0.481,0.1996,0.4141,0.0233,0.394,0.1763,0.4466,
melaff,1,1000mm,37.50,3.150,1.5118,0.4790,0.1959,2.495,1.3159,0.5264,
melaff,2,250mm,37.50,0.554,0.1741,0.3138,0.0527,0.360,0.1214,0.3367,
melaff,2,1000mm,48.30,3.356,1.2153,0.3614,0.2124,2.581,1.0029,0.3879,
melaff,2,base,,,,,,5.775,2.2563,0.3899,
melaff,3,250mm,33.60,0.329,0.0961,0.2915,0.0581,0.130,0.0380,0.2922,
melaff,3,1000mm,38.60,2.658,0.9239,0.3469,0.1699,2.017,0.7540,0.3731,
melaff,x,base,24.90,,,,,0.344,0.1511,0.4390,
melaff,x,base,14.30,,,,,0.268,0.1467,0.5473,
melaff,x,base,20.40,,,,,0.386,0.2101,0.5432,
melell,1,base,21.50,,,,,0.415,0.1760,0.4232,
melell,1,250mm,40.50,4.539,1.5155,0.3332,0.3938,3.337,1.1217,0.3355,
melell,1,1000mm,32.60,10.595,3.7563,0.3538,0.6745,8.375,3.0818,0.3672,
melell,2,base,15.00,,,,,0.283,0.1234,0.4347,
melell,2,250mm,37.30,1.896,0.5373,0.2828,0.1420,1.362,0.3953,0.2897,
melell,2,1000mm,33.70,4.890,1.6145,0.3295,0.3169,3.713,1.2976,0.3488,
melell,3,base,21.10,,,,,0.393,0.1659,0.4213,
melell,3,250mm,31.70,2.453,0.7204,0.2931,0.1549,1.796,0.5655,0.3142,
melell,3,1000mm,35.80,10.130,3.1486,0.3102,0.4943,8.250,2.6543,0.3211,
melell,x,base,31.10,,,,,0.584,0.2153,0.3682,
